zipcode_label,median_income
ZCTA5 01341,101023
ZCTA5 01342,106146
ZCTA5 01343,85781
ZCTA5 01344,70109
ZCTA5 01346,60208
ZCTA5 01347,52647
ZCTA5 01349,61630
ZCTA5 01350,31458
ZCTA5 01351,82548
ZCTA5 01354,69226
ZCTA5 01355,70313
ZCTA5 01360,69028
ZCTA5 01364,43413
ZCTA5 01366,65529
ZCTA5 01367,55469
ZCTA5 01368,72813
ZCTA5 01370,54036
ZCTA5 01373,74022
ZCTA5 01375,54886
ZCTA5 01376,43750
ZCTA5 01378,57885
ZCTA5 01379,43500
ZCTA5 01420,51412
ZCTA5 01430,85064
ZCTA5 01431,95833
ZCTA5 01432,79750
ZCTA5 01434,50547
ZCTA5 01436,60156
ZCTA5 01438,74142
ZCTA5 01440,48915
ZCTA5 01450,123918
ZCTA5 01451,143625
ZCTA5 01452,93387
ZCTA5 01453,57610
ZCTA5 01460,119177
ZCTA5 01462,97775
ZCTA5 01463,90029
ZCTA5 01464,67541
ZCTA5 01467,98036
ZCTA5 01468,64872
ZCTA5 01469,84489
ZCTA5 01473,100071
ZCTA5 01474,84851
ZCTA5 01475,64539
ZCTA5 01501,74576
ZCTA5 01503,97417
ZCTA5 01504,80260
ZCTA5 01505,97074
ZCTA5 01506,64219
ZCTA5 01507,93921
ZCTA5 01510,68362
ZCTA5 01515,80234
ZCTA5 01516,94531
ZCTA5 01518,58438
ZCTA5 01519,106250
ZCTA5 01520,99674
ZCTA5 01521,78348
ZCTA5 01522,104508
ZCTA5 01523,104630
ZCTA5 01524,64135
ZCTA5 01525,-
ZCTA5 01527,74713
ZCTA5 01529,90500
ZCTA5 01531,84432
ZCTA5 01532,111875
ZCTA5 01534,89348
ZCTA5 01535,73133
ZCTA5 01536,105283
ZCTA5 01537,74883
ZCTA5 01540,68865
ZCTA5 01541,128006
ZCTA5 01542,100000
ZCTA5 01543,100962
ZCTA5 01545,101229
ZCTA5 01550,50202
ZCTA5 01560,85390
ZCTA5 01561,-
ZCTA5 01562,65386
ZCTA5 01564,102500
ZCTA5 01566,95800
ZCTA5 01568,119115
ZCTA5 01569,94809
ZCTA5 01570,52107
ZCTA5 01571,64281
ZCTA5 01581,107604
ZCTA5 01583,73463
ZCTA5 01585,66317
ZCTA5 01588,66607
ZCTA5 01590,101315
ZCTA5 01602,64808
ZCTA5 01603,42259
ZCTA5 01604,50487
ZCTA5 01605,37703
ZCTA5 01606,65135
ZCTA5 01607,43500
ZCTA5 01608,20578
ZCTA5 01609,42903
ZCTA5 01610,31003
ZCTA5 01611,81830
ZCTA5 01612,95595
ZCTA5 01701,105940
ZCTA5 01702,52746
ZCTA5 01718,160750
ZCTA5 01719,101077
ZCTA5 01720,133075
ZCTA5 01721,120309
ZCTA5 01730,125208
ZCTA5 01731,93276
ZCTA5 01740,151618
ZCTA5 01741,170703
ZCTA5 01742,137547
ZCTA5 01745,123992
ZCTA5 01746,118933
ZCTA5 01747,101761
ZCTA5 01748,151357
ZCTA5 01749,83765
ZCTA5 01752,75418
ZCTA5 01754,95833
ZCTA5 01756,125816
ZCTA5 01757,75976
ZCTA5 01760,106332
ZCTA5 01770,170872
ZCTA5 01772,143375
ZCTA5 01773,153500
ZCTA5 01775,144766
ZCTA5 01776,170945
ZCTA5 01778,166548
ZCTA5 01801,84857
ZCTA5 01803,99254
ZCTA5 01810,143292
ZCTA5 01821,99881
ZCTA5 01824,115533
ZCTA5 01826,86644
ZCTA5 01827,138700
ZCTA5 01830,61375
ZCTA5 01832,64238
ZCTA5 01833,113417
ZCTA5 01834,95031
ZCTA5 01835,77697
ZCTA5 01840,20596
ZCTA5 01841,38199
ZCTA5 01843,46629
ZCTA5 01844,73525
ZCTA5 01845,105661
ZCTA5 01850,46102
ZCTA5 01851,52008
ZCTA5 01852,50911
ZCTA5 01854,40982
ZCTA5 01860,84417
ZCTA5 01862,93494
ZCTA5 01863,77055
ZCTA5 01864,124750
ZCTA5 01867,113553
ZCTA5 01876,94817
ZCTA5 01879,101620
ZCTA5 01880,93337
ZCTA5 01886,138006
ZCTA5 01887,118549
ZCTA5 01890,152196
ZCTA5 01901,22057
ZCTA5 01902,42851
ZCTA5 01904,88395
ZCTA5 01905,57638
ZCTA5 01906,82188
ZCTA5 01907,105029
ZCTA5 01908,81384
ZCTA5 01913,78638
ZCTA5 01915,77893
ZCTA5 01921,155034
ZCTA5 01922,87986
ZCTA5 01923,79795
ZCTA5 01929,109327
ZCTA5 01930,65348
ZCTA5 01937,-
ZCTA5 01938,80829
ZCTA5 01940,113509
ZCTA5 01944,105500
ZCTA5 01945,110025
ZCTA5 01949,107727
ZCTA5 01950,89887
ZCTA5 01951,90662
ZCTA5 01952,72900
ZCTA5 01960,65060
ZCTA5 01966,72015
ZCTA5 01969,89338
ZCTA5 01970,65476
ZCTA5 01982,112250
ZCTA5 01983,131387
ZCTA5 01984,96979
ZCTA5 01985,135882
ZCTA5 02019,95533
ZCTA5 02021,96583
ZCTA5 02025,140000
ZCTA5 02026,89451
ZCTA5 02030,204018
ZCTA5 02032,120250
ZCTA5 02035,98199
ZCTA5 02038,111935
ZCTA5 02043,125144
ZCTA5 02045,80584
ZCTA5 02047,26953
ZCTA5 02048,111141
ZCTA5 02050,92610
ZCTA5 02052,153847
ZCTA5 02053,115432
ZCTA5 02054,100230
ZCTA5 02056,139137
ZCTA5 02061,128563
ZCTA5 02062,87516
ZCTA5 02066,114766
ZCTA5 02067,133229
ZCTA5 02071,115333
ZCTA5 02072,78343
ZCTA5 02081,105420
ZCTA5 02090,146042
ZCTA5 02093,107444
ZCTA5 02108,126224
ZCTA5 02109,129716
ZCTA5 02110,108438
ZCTA5 02111,39329
ZCTA5 02113,91212
ZCTA5 02114,89452
ZCTA5 02115,38759
ZCTA5 02116,103422
ZCTA5 02118,70575
ZCTA5 02119,30663
ZCTA5 02120,32243
ZCTA5 02121,27964
ZCTA5 02122,56024
ZCTA5 02124,50227
ZCTA5 02125,53382
ZCTA5 02126,50039
ZCTA5 02127,91597
ZCTA5 02128,52154
ZCTA5 02129,103834
ZCTA5 02130,84847
ZCTA5 02131,72127
ZCTA5 02132,93343
ZCTA5 02134,49938
ZCTA5 02135,61566
ZCTA5 02136,64877
ZCTA5 02138,87671
ZCTA5 02139,91250
ZCTA5 02140,91596
ZCTA5 02141,77261
ZCTA5 02142,120729
ZCTA5 02143,90285
ZCTA5 02144,102033
ZCTA5 02145,68553
ZCTA5 02148,62283
ZCTA5 02149,57143
ZCTA5 02150,51875
ZCTA5 02151,53771
ZCTA5 02152,69928
ZCTA5 02155,86459
ZCTA5 02163,64000
ZCTA5 02169,67028
ZCTA5 02170,82159
ZCTA5 02171,78839
ZCTA5 02176,93434
ZCTA5 02180,90320
ZCTA5 02184,88993
ZCTA5 02186,126000
ZCTA5 02188,81040
ZCTA5 02189,58674
ZCTA5 02190,85053
ZCTA5 02191,73948
ZCTA5 02199,82238
ZCTA5 02203,-
ZCTA5 02210,170152
ZCTA5 02215,43403
ZCTA5 02301,47724
ZCTA5 02302,63718
ZCTA5 02322,69709
ZCTA5 02324,88640
ZCTA5 02330,73904
ZCTA5 02332,123613
ZCTA5 02333,86568
ZCTA5 02338,77993
ZCTA5 02339,111311
ZCTA5 02341,96389
ZCTA5 02343,67589
ZCTA5 02346,79811
ZCTA5 02347,97990
ZCTA5 02351,91643
ZCTA5 02356,113783
ZCTA5 02357,-
ZCTA5 02359,101447
ZCTA5 02360,83746
ZCTA5 02364,89796
ZCTA5 02366,-
ZCTA5 02367,87438
ZCTA5 02368,70163
ZCTA5 02370,77573
ZCTA5 02375,94457
ZCTA5 02379,85368
ZCTA5 02382,79705
ZCTA5 02420,168065
ZCTA5 02421,158554
ZCTA5 02445,111642
ZCTA5 02446,102342
ZCTA5 02451,94886
ZCTA5 02452,87055
ZCTA5 02453,73042
ZCTA5 02457,-
ZCTA5 02458,103978
ZCTA5 02459,169963
ZCTA5 02460,118148
ZCTA5 02461,159517
ZCTA5 02462,104375
ZCTA5 02464,102946
ZCTA5 02465,137438
ZCTA5 02466,115345
ZCTA5 02467,119964
ZCTA5 02468,212394
ZCTA5 02472,92959
ZCTA5 02474,104583
ZCTA5 02476,101713
ZCTA5 02478,118342
