,State,PostalCode,Longitude,Latitude
0,MN,55792,-92.55,47.51
1,OR,97218,-122.59,45.59
4,CT,06611,-73.15,41.23
5,CA,92056,-117.3,33.18
6,CO,80124,-104.88,39.54
9,CA,94520,-122.06,37.97
10,NJ,07642,-74.04,41.0
11,CA,94549,-122.12,37.89
12,VA,23298,-77.43,37.54
13,WA,98597,-122.59,46.93
14,VA,23518,-76.22,36.9
18,CA,92128,-117.06,33.02
21,IN,46254,-86.26,39.85
22,CA,91506,-118.31,34.16
23,CA,91789,-117.84,34.03
24,FL,32821,-81.5,28.37
26,CO,80905,-104.82,38.81
28,NV,89052,-115.1,35.98
31,IN,46032,-86.23,39.94
32,NY,10075,-73.95,40.77
34,CA,94061,-122.22,37.47
35,CA,90660,-118.08,34.0
39,GA,30004,-84.36,34.08
41,FL,32162,-81.97,28.91
45,IL,60008,-88.0,42.05
46,CA,92673,-117.6,33.46
48,CA,95051,-122.0,37.35
49,CA,95120,-121.86,37.22
51,CA,93001,-119.29,34.28
54,TX,78746,-97.8,30.28
57,CA,91706,-117.99,34.06
58,CA,92225,-114.59,33.61
59,CA,95630,-121.11,38.65
61,CO,80528,-105.04,40.52
65,AZ,85282,-111.96,33.38
67,NV,89103,-115.2,36.12
71,VA,23452,-76.13,36.83
72,FL,32225,-81.5,30.36
73,OH,43219,-82.89,40.0
76,WA,98108,-122.32,47.55
77,OR,97035,-122.72,45.41
78,WA,98028,-122.25,47.76
79,FL,32669,-82.48,29.66
80,CA,90038,-118.34,34.09
81,IN,46902,-86.13,40.44
82,LA,70118,-90.13,29.94
85,NE,68144,-96.14,41.23
86,DC,20005,-77.03,38.9
89,CA,90064,-118.43,34.04
90,OR,97405,-123.09,44.01
91,MD,21771,-77.16,39.36
92,CA,90802,-118.19,33.77
95,NY,10038,-74.01,40.71
96,CA,91709,-117.71,33.98
100,CA,92264,-116.53,33.8
105,CA,91608,-118.36,34.14
106,NY,10543,-73.74,40.94
107,CO,80023,-104.98,40.0
108,CA,94080,-122.45,37.66
109,MD,21146,-76.58,39.08
110,CA,91739,-117.54,34.11
112,CA,92610,-117.67,33.69
115,IL,60607,-87.65,41.88
116,OR,97203,-122.74,45.59
117,CA,94546,-122.09,37.69
118,FL,33140,-80.13,25.81
119,NY,14424,-77.26,42.88
121,CA,90405,-118.45,34.02
124,ME,04005,-70.51,43.47
125,SD,57701,-103.18,44.1
128,CA,90401,-118.49,34.02
133,AL,35801,-86.59,34.77
134,CA,93726,-119.79,36.78
136,NY,10019,-73.99,40.76
138,OH,45840,-83.61,41.06
142,AR,72209,-92.41,34.66
143,CA,94538,-121.98,37.5
144,FL,33414,-80.25,26.67
145,MO,63701,-89.58,37.3
148,MN,55127,-93.06,45.05
152,MD,21014,-76.32,39.55
165,WA,98102,-122.33,47.64
166,CA,92307,-117.22,34.53
168,FL,33316,-80.14,26.1
169,NY,10013,-74.01,40.73
172,OK,73160,-97.5,35.32
176,WA,98101,-122.33,47.62
182,CA,92675,-117.66,33.5
183,FL,33414,-80.21,26.65
185,MI,48315,-83.01,42.67
186,CO,81505,-108.59,39.08
187,AZ,85344,-114.28,34.15
189,CO,80215,-105.1,39.74
190,KY,40503,-84.53,37.99
191,IL,60446,-88.12,41.61
192,MI,48824,-84.48,42.73
193,CA,90745,-118.27,33.81
194,WA,98801,-120.33,47.44
195,IN,47404,-86.57,39.17
196,AR,72756,-94.18,36.33
197,CT,06040,-72.57,41.77
198,CO,80487,-106.83,40.47
199,IN,46825,-85.14,41.18
200,SC,29651,-82.27,34.94
203,CA,91214,-118.25,34.23
204,CA,95138,-121.78,37.29
208,CA,95926,-121.84,39.74
210,GA,30326,-84.36,33.85
212,NV,89123,-115.15,36.04
213,MI,49307,-85.48,43.69
214,WA,98339,-122.76,48.03
216,IL,60025,-87.8,42.08
218,CA,94533,-122.05,38.26
219,NY,10025,-73.97,40.79
220,NY,11520,-73.59,40.66
224,NC,27613,-78.68,35.89
227,CA,90045,-118.4,33.96
228,CA,92345,-117.29,34.47
229,AL,35242,-86.71,33.43
230,GA,31520,-81.52,31.22
231,LA,70808,-91.14,30.42
232,NY,12205,-73.82,42.71
233,MN,55330,-93.56,45.32
234,UT,84102,-111.87,40.76
235,CO,80923,-104.72,38.91
237,CA,95407,-122.71,38.42
239,CO,80134,-104.77,39.52
240,CA,94539,-121.93,37.49
241,NH,03431,-72.29,42.93
244,KS,66215,-94.76,38.97
245,IA,50266,-93.75,41.6
247,CA,94403,-122.29,37.53
249,TX,75068,-96.89,33.17
250,AZ,86314,-112.34,34.59
253,AZ,85635,-110.26,31.56
256,OH,43017,-83.09,40.09
257,FL,33446,-80.17,26.45
259,OR,97202,-122.62,45.49
261,OR,97754,-120.83,44.3
262,CT,06851,-73.4,41.12
263,NC,27858,-77.37,35.61
264,GA,30909,-82.03,33.51
266,NH,03801,-70.79,43.09
267,CA,90045,-118.37,33.98
270,TX,75068,-96.88,33.18
272,AZ,86314,-112.34,34.59
274,NC,27612,-78.68,35.84
275,MD,20657,-76.44,38.37
277,NC,27540,-78.8,35.66
279,IL,60077,-87.75,42.04
280,PA,19104,-75.21,39.95
287,CA,93313,-119.05,35.3
293,CA,93060,-119.07,34.35
294,PA,15213,-79.96,40.44
295,CA,90027,-118.29,34.1
297,NH,03103,-71.43,42.96
298,CA,90069,-118.39,34.08
299,GA,30033,-84.27,33.79
301,MN,55105,-93.14,44.94
303,NY,12572,-73.9,41.95
305,IL,60661,-87.64,41.88
306,FL,32601,-82.32,29.65
308,CA,96001,-122.42,40.57
310,AR,72015,-92.53,34.61
312,HI,96815,-157.83,21.28
313,CO,80301,-105.25,40.03
315,GA,30022,-84.27,33.99
316,FL,33629,-82.5,27.92
318,NV,89109,-115.17,36.13
320,NJ,08865,-75.15,40.68
322,MI,48044,-82.98,42.63
323,WA,98122,-122.29,47.6
327,NY,11209,-74.03,40.63
328,PA,15217,-79.92,40.44
329,VA,23669,-76.33,37.06
330,CA,95825,-121.39,38.6
331,CA,90503,-118.37,33.86
333,TX,77040,-95.5,29.85
335,MN,55403,-93.27,44.97
336,MA,02467,-71.15,42.3
338,FL,32114,-81.06,29.2
339,RI,02917,-71.53,41.87
340,MN,55331,-93.57,44.9
342,UT,84108,-111.83,40.76
343,TX,76051,-97.09,32.93
344,WA,98271,-122.19,48.15
345,CT,06484,-73.11,41.29
346,NY,11566,-73.55,40.66
351,NY,12211,-73.78,42.71
352,OH,43016,-83.13,40.07
353,IN,46360,-86.89,41.68
356,OR,97058,-121.19,45.6
359,CA,90025,-118.45,34.05
362,NM,87120,-106.69,35.18
363,IL,60447,-88.27,41.42
366,GA,30093,-84.17,33.92
368,NV,89129,-115.28,36.22
370,AZ,85249,-111.8,33.22
371,IN,46601,-86.25,41.68
372,TX,75206,-96.78,32.84
373,NV,89158,-115.18,36.11
374,OR,97814,-117.82,44.78
375,WA,98312,-122.65,47.57
376,TN,37129,-86.39,35.87
379,NC,28805,-82.52,35.58
385,MO,63145,-90.36,38.74
386,WA,99202,-117.41,47.65
387,NY,10001,-73.99,40.75
388,MI,48084,-83.18,42.56
390,OR,97219,-122.69,45.47
395,CA,93036,-119.18,34.23
397,VA,22202,-77.06,38.87
398,GA,30605,-83.34,33.92
400,AZ,85016,-112.03,33.51
403,MN,55305,-93.45,44.97
407,LA,70836,-91.09,30.39
408,AL,35632,-87.68,34.8
409,PA,15061,-80.3,40.68
410,NY,11949,-72.8,40.87
413,GA,30106,-84.58,33.86
414,AZ,85210,-111.84,33.38
415,PA,19428,-75.29,40.09
425,ID,83704,-116.28,43.61
430,HI,96720,-155.07,19.7
431,CA,91711,-117.72,34.08
432,AR,72032,-92.42,35.09
435,FL,32309,-84.25,30.5
436,WA,98375,-122.35,47.1
439,CA,94588,-121.91,37.7
443,MI,48009,-83.21,42.55
444,CA,91702,-117.89,34.13
445,CO,80015,-104.76,39.61
447,PA,17543,-76.3,40.13
448,WA,98273,-122.34,48.44
451,CA,93901,-121.65,36.66
452,NY,11210,-73.95,40.63
453,IL,60611,-87.63,41.9
454,NJ,07652,-74.08,40.92
455,NY,10028,-73.95,40.78
461,NY,12866,-73.79,43.07
462,NJ,07652,-74.07,40.96
463,MA,01040,-72.64,42.17
465,NY,12401,-73.99,41.96
466,MN,55106,-93.03,44.95
467,IL,62025,-90.0,38.79
468,WA,98403,-122.46,47.26
469,RI,02917,-71.52,41.87
470,FL,33301,-80.14,26.12
471,AZ,85757,-111.09,32.13
474,CA,95825,-121.39,38.59
478,CA,94103,-122.41,37.78
480,IL,62959,-88.98,37.75
482,CA,94928,-122.71,38.35
483,CA,95403,-122.74,38.48
485,CA,92009,-117.27,33.09
487,AK,99504,-149.78,61.21
490,CA,90024,-118.45,34.06
493,FL,32413,-85.88,30.22
495,CA,90501,-118.3,33.86
498,OR,97124,-122.87,45.54
499,VA,22314,-77.06,38.8
500,IL,60060,-88.02,42.26
503,OR,97520,-122.67,42.19
504,TX,78704,-97.75,30.26
506,CA,92683,-118.01,33.75
507,KY,40241,-85.56,38.3
509,UT,84093,-111.84,40.58
510,CA,93722,-119.87,36.79
511,CA,90804,-118.14,33.78
512,CA,95448,-122.87,38.61
513,CA,90069,-118.39,34.08
515,CA,93309,-119.07,35.33
519,TX,77077,-95.6,29.74
520,TN,37916,-83.94,35.95
522,WA,98101,-122.34,47.61
523,TX,77396,-95.22,29.98
524,CA,92101,-117.2,32.73
526,CA,91746,-118.01,34.03
527,DC,20037,-77.05,38.9
529,FL,32821,-81.49,28.39
530,FL,33759,-82.72,27.96
531,IL,60126,-87.94,41.92
533,IL,61801,-88.23,40.11
535,CA,95610,-121.27,38.67
536,OR,97045,-122.57,45.34
540,CO,80016,-104.8,39.6
544,WA,98101,-122.33,47.61
545,IL,60632,-87.72,41.81
547,GA,31909,-84.95,32.54
552,NC,28054,-81.13,35.26
558,NC,28715,-82.66,35.55
559,OH,43240,-82.98,40.15
561,TN,37923,-84.09,35.94
564,RI,02818,-71.45,41.66
565,GA,30214,-84.44,33.48
566,CA,95037,-121.64,37.11
567,CA,93721,-119.78,36.74
570,PA,15219,-79.99,40.44
572,WA,98052,-122.1,47.67
573,NC,28027,-80.71,35.37
574,AZ,85028,-111.98,33.58
575,CA,91739,-117.53,34.11
577,CA,92260,-116.4,33.72
578,UT,84101,-111.9,40.76
580,IL,60666,-87.9,41.98
581,MA,02532,-70.59,41.75
584,WA,98103,-122.35,47.69
587,ID,83401,-112.02,43.51
588,OR,97206,-122.62,45.48
590,WA,98684,-122.53,45.62
592,VA,22911,-78.44,38.03
594,VA,23452,-76.07,36.82
595,PA,19106,-75.15,39.95
597,GA,30092,-84.23,33.97
598,MA,02134,-71.13,42.35
601,OR,97301,-123.04,44.94
602,CA,91204,-118.26,34.13
604,CA,95963,-122.2,39.75
605,CA,92691,-117.67,33.56
607,MA,01237,-73.18,42.54
608,PA,19128,-75.21,40.03
610,CA,92612,-117.83,33.65
611,WA,98012,-122.22,47.85
612,CO,80547,-104.99,40.52
613,CA,90048,-118.38,34.08
615,IL,60604,-87.62,41.88
617,IN,46250,-86.07,39.91
620,CA,92130,-117.19,32.96
622,PA,19006,-75.09,40.09
623,NY,10001,-74.0,40.75
624,AZ,85281,-111.93,33.45
629,AZ,86004,-111.62,35.22
630,OH,45249,-84.33,39.27
631,CA,94114,-122.43,37.77
632,CT,06824,-73.26,41.14
633,CA,92116,-117.12,32.76
635,OH,44087,-81.44,41.31
637,CA,95837,-121.59,38.69
639,TX,79407,-101.96,33.55
640,RI,02920,-71.46,41.76
642,OR,97401,-123.1,44.05
643,CA,92069,-117.12,33.14
645,IL,60035,-87.83,42.19
647,AL,36830,-85.46,32.61
648,CO,80260,-105.02,39.88
650,TX,77090,-95.38,30.02
652,CA,94560,-121.99,37.52
655,OH,45601,-82.97,39.35
657,IN,46074,-86.11,40.04
660,SC,29631,-82.8,34.7
661,AL,36688,-88.18,30.7
662,PA,15212,-80.01,40.45
664,OR,97005,-122.77,45.49
665,MN,55428,-93.36,45.05
668,FL,33165,-80.34,25.75
669,GA,30135,-84.74,33.73
673,CA,94523,-122.06,37.97
675,WA,98042,-122.12,47.36
678,NM,87144,-106.58,35.32
680,OH,43017,-83.16,40.11
681,OH,44070,-81.9,41.42
682,FL,33612,-82.44,28.05
684,NJ,08057,-74.96,39.94
685,CA,94566,-121.87,37.68
688,CA,95051,-121.99,37.34
691,NY,13602,-75.81,44.05
692,UT,84087,-111.9,40.86
694,CA,95008,-121.95,37.29
697,FL,34471,-82.16,29.17
698,ME,04106,-70.34,43.63
699,CA,93514,-118.4,37.37
706,GA,30188,-84.48,34.09
709,PA,16689,-78.09,40.06
710,AZ,85748,-110.77,32.22
713,SD,57783,-103.86,44.5
714,RI,02903,-71.42,41.83
715,WA,99224,-117.54,47.62
717,CA,92806,-117.89,33.85
718,NJ,08054,-74.91,39.97
720,UT,84108,-111.83,40.73
721,OH,43017,-83.11,40.1
722,MA,02464,-71.21,42.31
723,FL,33063,-80.21,26.23
726,IA,50010,-93.62,42.02
727,PA,19520,-75.83,40.15
729,VA,20164,-77.4,39.03
730,IN,46142,-86.16,39.62
732,CA,92530,-117.37,33.69
733,CO,80443,-106.15,39.5
735,FL,32218,-81.68,30.49
737,FL,33325,-80.33,26.12
738,OR,97070,-122.77,45.34
742,MD,21224,-76.57,39.28
747,NJ,08034,-75.0,39.89
750,CA,93926,-121.44,36.51
752,TX,78736,-97.87,30.23
753,TN,37066,-86.47,36.38
756,MI,48180,-83.26,42.2
758,VA,23060,-77.61,37.65
761,VA,23860,-77.33,37.26
762,IA,51503,-95.83,41.22
765,CA,92626,-117.89,33.69
766,AR,72035,-92.45,35.08
767,IN,46545,-86.19,41.72
768,FL,33128,-80.28,25.8
772,MN,55125,-92.94,44.94
774,MI,48326,-83.3,42.7
776,NY,11217,-73.98,40.68
777,CA,94103,-122.4,37.78
781,CA,92029,-117.11,33.11
782,CA,94063,-122.23,37.48
783,RI,02889,-71.41,41.73
784,CO,80129,-105.01,39.55
785,CA,91042,-118.3,34.26
786,MA,02478,-71.18,42.4
787,MD,21201,-76.62,39.29
789,FL,33351,-80.25,26.19
790,MN,55904,-92.46,44.02
791,IN,46975,-86.22,41.05
793,NM,87113,-106.56,35.18
795,OH,43081,-82.93,40.11
797,TX,79936,-106.3,31.72
799,IN,47906,-86.91,40.42
801,CA,95661,-121.25,38.76
803,IL,60091,-87.71,42.08
804,ND,58701,-101.3,48.23
805,CA,94564,-122.3,37.99
806,NC,28280,-80.84,35.23
807,CA,94115,-122.43,37.78
809,MN,55126,-93.14,45.06
810,NV,89101,-115.14,36.17
813,WA,98272,-121.98,47.86
814,NC,28223,-80.73,35.3
816,NV,89521,-119.74,39.42
817,TX,75503,-94.09,33.46
818,CA,95127,-121.83,37.37
819,IL,60515,-88.02,41.83
821,MI,48103,-83.77,42.24
823,TX,78665,-97.68,30.56
824,CA,92407,-117.33,34.18
825,FL,32571,-87.13,30.6
826,PA,15108,-80.22,40.52
828,TX,78577,-98.19,26.18
829,IN,46556,-86.24,41.69
831,ID,83843,-116.98,46.72
836,NC,28277,-80.82,35.08
839,OH,45701,-82.07,39.34
842,OR,97338,-123.31,44.93
845,MI,48127,-83.3,42.33
847,DC,20005,-77.03,38.9
848,NJ,07310,-74.04,40.73
850,MD,20814,-77.1,38.99
853,GA,31021,-82.95,32.54
855,NC,28792,-82.47,35.33
856,OH,43570,-84.4,41.61
857,MD,20852,-77.14,39.08
859,IL,60640,-87.67,41.98
861,NM,87110,-106.59,35.1
862,OH,43017,-83.16,40.1
865,CA,94043,-122.08,37.42
866,CA,90045,-118.39,33.95
868,MI,48034,-83.29,42.5
871,CA,92054,-117.36,33.19
872,IL,62568,-89.29,39.56
873,CA,95070,-122.03,37.26
877,WY,82718,-105.49,44.27
878,UT,84107,-111.88,40.64
879,CA,90746,-118.26,33.85
880,OH,44131,-81.64,41.4
881,ME,04103,-70.29,43.7
883,WA,98103,-122.33,47.66
884,OH,45249,-84.3,39.3
887,NC,27616,-78.58,35.86
888,WA,98225,-122.47,48.73
889,CA,91321,-118.52,34.37
891,MO,65203,-92.36,38.95
892,TX,78741,-97.73,30.24
893,FL,33928,-81.77,26.44
894,WA,99336,-119.22,46.21
896,MD,20850,-77.19,39.1
898,CA,91377,-118.79,34.18
899,MN,55811,-92.17,46.81
900,PA,17057,-76.76,40.2
901,CA,91360,-118.87,34.2
902,CA,92626,-117.92,33.68
903,NJ,08401,-74.45,39.35
904,CA,93612,-119.73,36.84
906,MI,49424,-86.11,42.8
907,AZ,85297,-111.79,33.28
908,NC,28105,-80.71,35.12
909,VA,22015,-77.28,38.78
911,OR,97501,-122.85,42.31
912,CA,95630,-121.16,38.67
914,CA,95928,-121.84,39.73
915,NC,28546,-77.4,34.79
917,CA,90201,-118.16,33.97
918,OH,44181,-81.84,41.41
919,NY,10107,-73.98,40.77
922,CA,92123,-117.12,32.81
923,TX,75056,-96.89,33.07
924,MD,20678,-76.59,38.54
930,CO,80922,-104.72,38.88
931,CA,91773,-117.8,34.11
932,TX,77493,-95.78,29.76
941,OH,45069,-84.46,39.35
943,NY,10024,-73.98,40.79
946,IN,46037,-85.92,39.99
950,OH,45230,-84.4,39.11
951,MI,48076,-83.23,42.51
953,CO,80002,-105.11,39.8
954,IL,60601,-87.62,41.89
957,MN,55454,-93.24,44.96
958,IN,46517,-85.93,41.64
959,FL,33146,-80.26,25.73
960,FL,32084,-81.41,29.92
962,FL,32257,-81.62,30.2
963,OH,43026,-83.12,40.03
967,WA,98579,-123.01,46.8
968,CA,90014,-118.25,34.05
972,CO,80439,-105.34,39.65
973,WI,53207,-87.91,42.95
977,CA,91356,-118.54,34.17
979,IL,62221,-89.92,38.52
981,PA,16148,-80.45,41.23
985,AR,72758,-94.17,36.3
986,NE,68144,-96.1,41.23
987,WA,98105,-122.3,47.66
994,PA,17331,-76.99,39.83
995,CA,95682,-121.0,38.7
997,LA,70601,-93.26,30.21
1000,CA,90028,-118.34,34.1
1001,SD,57101,-96.77,43.51
1003,CA,90807,-118.18,33.84
1004,CA,90731,-118.29,33.76
1008,AK,99505,-149.68,61.26
1013,CO,80134,-104.77,39.51
1015,VA,23320,-76.24,36.71
1016,IN,46228,-86.2,39.86
1020,FL,32259,-81.62,30.12
1021,IN,46204,-86.16,39.77
1022,TX,77035,-95.46,29.67
1023,TX,76706,-97.11,31.55
1025,NJ,07728,-74.3,40.25
1027,NY,10580,-73.68,40.98
1028,MA,02125,-71.07,42.29
1029,WA,98226,-122.44,48.77
1033,GA,30269,-84.59,33.44
1035,CA,92230,-116.8,33.92
1036,OR,97138,-123.92,45.99
1037,CA,91762,-117.67,34.09
1038,CO,80241,-104.94,39.91
1039,NY,10025,-73.97,40.8
1041,KS,66441,-96.82,39.02
1042,ID,83704,-116.27,43.62
1043,AZ,86336,-111.76,34.87
1044,OH,43209,-82.94,39.96
1045,OR,97307,-123.0,45.01
1047,CA,92121,-117.14,32.91
1051,FL,32063,-82.11,30.26
1053,WA,99163,-117.17,46.74
1058,CA,91902,-117.03,32.66
1061,PA,19148,-75.17,39.92
1063,AZ,86336,-111.8,34.86
1066,ID,83702,-116.21,43.62
1070,IL,60506,-88.38,41.79
1071,OR,97701,-121.26,44.06
1072,IA,52722,-90.52,41.54
1073,NM,87402,-108.16,36.75
1077,OR,97216,-122.56,45.52
1078,WA,98007,-122.15,47.6
1079,VA,23321,-76.41,36.83
1082,MO,63131,-90.45,38.6
1083,CA,92243,-115.57,32.82
1084,NJ,08701,-74.16,40.06
1085,CA,92627,-117.91,33.63
1086,NC,28562,-77.1,35.1
1087,OR,97213,-122.61,45.53
1089,KS,66502,-96.56,39.18
1090,MD,20872,-77.2,39.29
1093,CA,91763,-117.69,34.09
1095,CA,93637,-120.13,37.02
1096,FL,32542,-86.53,30.47
1097,IL,60020,-88.17,42.36
1099,WA,98531,-122.98,46.73
1100,CO,80023,-105.04,39.96
1103,DC,20006,-77.04,38.9
1104,CA,94585,-122.02,38.25
1109,CA,93065,-118.74,34.28
1111,CA,92677,-117.72,33.53
1112,MA,02116,-71.08,42.35
1113,OR,97068,-122.61,45.37
1118,PA,19104,-75.19,39.95
1121,CA,92660,-117.86,33.64
1122,CA,92833,-117.96,33.88
1123,CA,94303,-122.13,37.45
1124,WA,98121,-122.34,47.62
1125,WI,53221,-87.92,42.96
1128,NY,10128,-73.95,40.78
1129,AL,35243,-86.74,33.46
1131,HI,96813,-157.86,21.3
1132,MO,64081,-94.41,38.93
1133,VA,22033,-77.36,38.86
1134,NV,89506,-119.85,39.61
1136,CA,95825,-121.42,38.6
1137,MA,01970,-70.89,42.52
1138,AZ,85308,-112.23,33.64
1139,NC,27514,-79.05,35.9
1140,NY,10065,-73.97,40.76
1141,DC,20024,-77.02,38.89
1144,OR,97202,-122.65,45.47
1145,OR,97089,-122.46,45.42
1148,ID,83704,-116.28,43.61
1150,CA,95133,-121.87,37.37
1151,OR,97213,-122.62,45.55
1153,NE,68164,-96.12,41.29
1155,LA,70726,-90.96,30.46
1156,CA,94606,-122.25,37.79
1157,UT,84088,-111.94,40.59
1159,CA,92124,-117.1,32.82
1162,NV,89109,-115.17,36.12
1163,IN,47304,-85.42,40.19
1164,CA,91320,-118.96,34.17
1166,NY,11201,-73.98,40.69
1169,GA,30013,-84.02,33.63
1170,NV,89703,-119.78,39.2
1172,KY,40741,-84.1,37.11
1173,OH,43950,-80.87,40.07
1176,PA,19082,-75.29,39.96
1177,MA,02653,-69.97,41.78
1180,GA,30144,-84.56,34.02
1181,CA,90045,-118.42,33.97
1182,MD,21842,-75.11,38.34
1183,AZ,85260,-111.87,33.62
1184,WA,98248,-122.58,48.84
1187,MI,48864,-84.42,42.72
1191,NV,89030,-115.12,36.24
1193,FL,33315,-80.15,26.08
1196,CO,80021,-105.08,39.89
1199,VA,22033,-77.39,38.86
1202,WA,98311,-122.63,47.63
1203,CO,80134,-104.76,39.48
1206,MO,63031,-90.34,38.78
1210,CO,81212,-105.22,38.45
1212,TX,76132,-97.42,32.66
1215,AK,99507,-149.84,61.14
1216,GA,30319,-84.33,33.89
1217,NV,89118,-115.24,36.06
1222,IL,62234,-90.01,38.68
1224,SC,29687,-82.28,34.94
1225,AZ,85022,-112.07,33.64
1228,FL,33180,-80.15,25.95
1229,NC,27012,-80.38,36.02
1231,VA,22980,-78.95,38.06
1232,MS,39157,-90.15,32.43
1233,MA,02215,-71.1,42.34
1234,MO,65203,-92.38,38.95
1236,KS,66067,-95.27,38.59
1239,FL,34994,-80.27,27.24
1240,NC,27534,-77.94,35.38
1242,FL,33771,-82.76,27.92
1243,CA,95351,-121.02,37.65
1244,CA,94030,-122.39,37.6
1245,GA,30101,-84.68,34.04
1246,CA,92821,-117.89,33.92
1247,MD,21228,-76.75,39.28
1248,TN,37204,-86.8,36.11
1250,CA,92254,-116.09,33.57
1251,ME,04901,-69.64,44.57
1252,CO,80401,-105.22,39.75
1253,CA,90703,-118.06,33.85
1255,IA,52241,-91.61,41.69
1256,OH,44236,-81.44,41.24
1257,OR,97401,-123.09,44.04
1258,KS,67601,-99.34,38.87
1261,NY,11758,-73.47,40.67
1262,NY,10003,-73.99,40.73
1266,NJ,07631,-73.97,40.89
1267,CA,94010,-122.37,37.6
1268,CA,91731,-118.04,34.08
1270,TX,76018,-97.11,32.67
1271,OR,97703,-121.3,44.1
1274,KY,40222,-85.61,38.25
1276,DC,20009,-77.04,38.92
1283,CA,90806,-118.19,33.81
1284,CA,94132,-122.48,37.73
1285,NJ,07675,-73.98,41.01
1289,NC,28805,-82.54,35.6
1291,IN,46123,-86.34,39.76
1293,HI,96744,-157.8,21.4
1294,NJ,07002,-74.11,40.67
1295,MI,48377,-83.47,42.49
1299,MD,21014,-76.35,39.53
1301,CA,95118,-121.89,37.25
1302,FL,33308,-80.1,26.17
1304,NJ,08753,-74.16,39.95
1305,FL,32608,-82.38,29.62
1306,UT,84078,-109.54,40.46
1308,TX,77479,-95.68,29.59
1309,MI,48309,-83.19,42.68
1311,MI,48085,-83.09,42.62
1314,TN,38305,-88.85,35.67
1315,FL,33441,-80.09,26.3
1316,CA,95993,-121.64,39.13
1318,CA,94566,-121.86,37.67
1319,FL,32548,-86.61,30.42
1320,IN,47802,-87.41,39.41
1322,TX,75028,-97.04,33.04
1323,MO,64151,-94.64,39.21
1324,SC,29577,-78.88,33.72
1325,AL,36606,-88.12,30.68
1327,CA,94596,-122.06,37.9
1329,CA,95355,-120.96,37.65
1334,CA,90064,-118.44,34.04
1335,TX,78232,-98.47,29.61
1336,MI,48383,-83.53,42.65
1337,ID,83725,-116.2,43.6
1338,OR,97232,-122.64,45.53
1340,CA,92009,-117.24,33.08
1341,NV,89084,-115.18,36.29
1342,LA,70448,-90.09,30.38
1343,CO,80204,-105.01,39.75
1346,CA,92882,-117.57,33.84
1348,CA,90802,-118.19,33.77
1349,PA,15217,-79.92,40.43
1352,GA,30062,-84.48,33.97
1355,CA,92618,-117.75,33.65
1356,CA,92110,-117.21,32.75
1358,PA,19141,-75.15,40.04
1359,MI,48138,-83.16,42.13
1360,NY,11729,-73.33,40.76
1363,DC,20008,-77.06,38.94
1365,FL,33176,-80.34,25.63
1366,PA,19085,-75.35,40.04
1367,MI,48390,-83.44,42.53
1369,MA,02110,-71.05,42.35
1370,WA,98105,-122.3,47.66
1372,CA,90048,-118.38,34.08
1374,MI,49426,-85.85,42.89
1375,WA,98004,-122.2,47.62
1376,PA,19464,-75.57,40.24
1380,NY,10001,-73.99,40.75
1386,PA,18519,-75.64,41.47
1387,RI,02903,-71.42,41.83
1390,CO,80301,-105.26,40.02
1396,CA,91789,-117.86,34.01
1398,CA,95336,-121.19,37.8
1399,CO,80023,-105.05,39.94
1400,LA,70461,-89.75,30.28
1402,MN,55122,-93.21,44.79
1404,FL,33607,-82.52,27.96
1409,IL,60077,-87.76,42.01
1410,NY,10012,-74.0,40.73
1413,NJ,08034,-75.0,39.91
1414,KY,42223,-87.47,36.67
1415,CA,90301,-118.35,33.96
1418,KY,40222,-85.63,38.28
1419,PA,18411,-75.7,41.49
1420,IL,60040,-87.82,42.22
1421,WA,98059,-122.16,47.51
1422,NY,12061,-73.71,42.6
1423,AZ,85297,-111.72,33.29
1424,NJ,07042,-74.22,40.81
1425,MO,64506,-94.8,39.77
1427,OH,43402,-83.64,41.38
1435,OH,43219,-82.91,40.05
1436,DC,20016,-77.07,38.93
1437,NY,10710,-73.86,40.97
1440,CA,94521,-121.99,37.97
1441,NY,10027,-73.96,40.82
1444,CA,95120,-121.86,37.22
1445,WI,53965,-89.79,43.62
1447,AZ,85287,-111.93,33.42
1452,CO,80202,-104.99,39.75
1454,CA,92376,-117.37,34.07
1455,TX,76063,-97.12,32.61
1456,CA,92109,-117.25,32.77
1457,NC,27713,-78.9,35.9
1458,GA,30144,-84.56,34.02
1459,CA,91423,-118.43,34.15
1460,NY,10016,-73.98,40.75
1461,CA,94561,-121.73,38.0
1463,FL,33441,-80.09,26.32
1465,TX,77598,-95.14,29.54
1468,NJ,08837,-74.35,40.56
1469,AL,36066,-86.39,32.46
1470,MD,20707,-76.86,39.09
1471,MD,21201,-76.62,39.3
1472,CA,91601,-118.37,34.16
1477,NY,11755,-73.13,40.87
1478,MD,20906,-77.05,39.09
1481,AZ,85338,-112.41,33.44
1483,LA,70072,-90.1,29.88
1485,MN,56001,-93.95,44.17
1486,IL,60714,-87.77,42.01
1488,ND,58201,-97.08,47.89
1490,WA,98908,-120.56,46.62
1491,TX,78748,-97.79,30.17
1493,NJ,07030,-74.03,40.74
1496,TX,76180,-97.24,32.84
1499,NY,12304,-73.91,42.78
1501,CA,92660,-117.88,33.62
1504,CA,90650,-118.08,33.92
1509,CA,95834,-121.5,38.64
