,State,PostalCode,Longitude,Latitude
21590,TX,78254,-98.68,29.53
21591,KY,40299,-85.52,38.19
21595,CA,94598,-122.02,37.93
21597,TX,76016,-97.2,32.68
21598,FL,32503,-87.22,30.47
21600,TX,75605,-94.76,32.54
21602,IL,60181,-87.98,41.86
21605,IL,60563,-88.15,41.79
21606,CA,91367,-118.6,34.19
21607,FL,33607,-82.52,27.96
21608,MI,49855,-87.47,46.55
21609,CA,94108,-122.41,37.79
21610,WA,98816,-120.02,47.84
21611,OH,43215,-83.0,39.95
21613,MI,48104,-83.69,42.26
21614,CA,91320,-118.94,34.19
21615,VA,20136,-77.57,38.75
21616,IL,60452,-87.74,41.6
21617,OR,97365,-124.05,44.64
21623,VA,22182,-77.24,38.92
21624,TX,77070,-95.57,30.0
21626,CA,92557,-117.23,33.94
21628,FL,32222,-81.82,30.22
21631,VA,23464,-76.17,36.81
21637,CA,95628,-121.31,38.66
21639,WV,24740,-81.07,37.47
21640,FL,32301,-84.26,30.44
21641,CA,95355,-120.96,37.67
21642,TX,75605,-94.73,32.55
21643,MO,65211,-92.33,38.94
21644,IL,60560,-88.44,41.66
21647,CT,06810,-73.48,41.38
21649,TX,77845,-96.29,30.58
21650,GA,30022,-84.22,34.05
21653,CA,91784,-117.64,34.13
21654,MD,20814,-77.1,39.0
21655,PA,19131,-75.22,40.0
21656,WA,98121,-122.35,47.61
21657,WA,98004,-122.2,47.62
21658,NY,14043,-78.7,42.87
21660,MA,01752,-71.51,42.35
21661,MI,48312,-83.03,42.56
21662,CO,80913,-104.8,38.74
21663,WI,53217,-87.91,43.12
21665,AK,99517,-149.92,61.19
21666,UT,84097,-111.68,40.28
21669,CA,92025,-117.07,33.07
21673,GA,30132,-84.82,33.91
21675,NC,27707,-78.96,35.96
21679,GA,30809,-82.12,33.53
21680,CA,93534,-118.15,34.68
21681,LA,70360,-90.75,29.61
21682,CA,92629,-117.7,33.49
21685,CA,92507,-117.33,33.96
21687,NY,11530,-73.61,40.74
21688,TN,37919,-83.99,35.94
21689,MN,55125,-92.96,44.93
21690,NJ,07102,-74.17,40.74
21694,NC,28904,-83.8,35.03
21695,NC,28374,-79.48,35.21
21697,FL,33065,-80.25,26.27
21699,TX,75783,-97.88,30.39
21700,CA,92823,-117.85,33.91
21701,CO,80214,-105.06,39.75
21703,NC,27215,-79.52,36.07
21705,NV,89048,-115.99,36.22
21706,CO,80205,-104.98,39.75
21707,FL,33015,-80.29,25.93
21710,CA,91604,-118.37,34.14
21712,KY,40299,-85.54,38.22
21714,IA,52807,-90.56,41.56
21715,CA,90010,-118.31,34.06
21718,MA,01501,-71.84,42.2
21719,NY,10038,-74.0,40.71
21720,CA,93612,-119.73,36.84
21727,AR,72802,-93.11,35.28
21728,OR,97850,-118.07,45.33
21730,UT,84098,-111.57,40.75
21732,ID,83705,-116.22,43.59
21736,KS,66049,-95.27,38.97
21738,FL,33410,-80.08,26.85
21739,NE,68123,-95.93,41.16
21744,TX,79707,-102.14,32.03
21746,AK,99615,-152.37,57.81
21747,IL,60453,-87.75,41.72
21748,FL,32830,-81.55,28.37
21749,AZ,85295,-111.74,33.31
21750,CA,90802,-118.19,33.77
21755,WI,54902,-88.58,44.0
21756,OH,44646,-81.5,40.8
21757,NC,27519,-78.87,35.79
21760,FL,33199,-80.38,25.76
21761,MA,01581,-71.61,42.28
21765,OR,97267,-122.59,45.42
21766,VA,23665,-76.36,37.07
21767,NJ,07728,-74.29,40.26
21769,MA,02115,-71.09,42.34
21774,NY,11764,-72.99,40.94
21775,NY,10570,-73.79,41.13
