City,Latitude,Longitude,Name,PostalCode,State
Carmel,39.97174571,-86.12921761,Union Brewing Company,46032,IN
Austin,30.344316,-97.73847,Growler Room,78757,TX
Pittsburgh,40.477245,-79.95708,Roundabout Brewery,15201,Pitt
Union Pier,41.82846831,-86.67511849,The Round Barn Winery,49129,MI
Boise,43.61947,-116.337875,Sockeye Grill and Brewery,83713,ID
Fort Bragg,39.446904,-123.806137,North Coast Brewing Co Store,95437,Inglenook
Indianapolis,39.78059,-86.216483,Hi-neighbor Tavern,46222,IN
East Peoria,40.682168,-89.591978,Granite City Food & Brewery,61611,Peoria
San Diego,32.954379,-117.232069,Ralphs Fresh Fare,92130,CA
Boise,43.616471,-116.208927,Woodland Empire Ale Craft,83702,ID
Chandler,33.319665,-111.944473,Jersey D's Tavern & Grill,85226,AZ
Mount Joy,40.111668,-76.50284,Bube's Brewery,17552,Donegal Springs
Canandaigua,42.866837,-77.2252,Naked Dove Brewing Company,14424,NY
Arvada,39.80059504,-105.0587524,Odyssey Beerwerks Brewery and Tap Room,80002,Wheat Ridge
Los Angeles,33.945065,-118.402005,Gordon Biersch Brewery Restaurant,90045,Playa Vista
Woodburn,45.142503,-122.857413,Trapala Brewpub & Rostisseria Llc,97071,OR
Perryville,37.725066,-89.863591,City Tavern,63775,Brewer
Henrico,37.58894645,-77.5564593,Jack and Laura's New House,23229,Tuckahoe
Purcellville,45.470936,9.243121,Il Giardino Della Birra,20134,VA
Elizaville,42.05955,-73.79534,Sloop Brewing Co.,12523,NY
Columbus,32.527777,-84.949862,Homebrew of Columbus,31909,GA
Goleta,34.42865,-119.873505,Hollister Brewing Company,93117,Santa Barbara
Chesapeake,36.678665,-76.22847,Big Ugly Brewing,23322,VA
Spokane,47.682153,-117.411407,Jim's Home Brew Supply,99207,WA
Bairdford,43.35766087,-8.403044342,La Cervecería,15006,PA
Bend,44.04656,-121.31077,Rat Hole Brewing,97702,OR
Durham,35.99688,-78.88947,Triangle Brewing Company,27701,NC
Brooklyn,40.68065,-73.977798,Booker Brewery,11217,NY
Bakerstown,43.35487281,-8.414339723,Cervecería Paddock,15007,PA
Clifton,39.57059306,2.636789502,Exit Rock Bar,7013,NJ
Temple,31.09187671,-97.38579597,Bj's Restaurant and Brewhouse,76504,TX
Granite Falls,35.794868,-81.430296,Granite Falls Brewing Co,28630,Dudley Shoals
Miami Beach,25.774446,-80.139595,Total Wine More,33139,Venetian Islands
Durham,35.99045265,-78.89472213,Bull City Ciderworks,27701,NC
Ames,42.077923,-93.66892,Alluvial Brewing Company,50014,IA
South Bend,41.674502,-86.250294,South Bend Brew Werks,46601,So Bend
Gaithersburg,39.140861,-77.215306,Dogfish Head Alehouse,20878,No Potomac
Wheaton,41.865505,-88.10677,Dry City Brew Works,60187,IL
Bath,47.11469,-2.06281,Brigantine Brasserie De La Cote De Jade,44210,OH
Phoenix,33.571512,-112.061317,Fry's Food and Drug,85020,AZ
Austin,30.26217727,-97.76138281,Uncle Billy's Brew & Que,78704,TX
Seattle,47.60788,-122.3394,Road Dog Tours,98104,Pioneer Square
Oak Harbor,48.299137,-122.6528,Flyer Restaurant and Brewery,98277,WA
Longmont,40.111371,-104.944754,Echo Brewing Co,80504,Niwot
Charlotte,35.187028,-80.891684,C B S Distributing Inc,28217,NC
Ashburn,39.01613,-77.47557,Lost Rhino Brewing Co.,20147,VA
Blacksburg,37.234874,-80.420513,Eats Natural Foods,24060,VA
Estes Park,40.373144,-105.522957,Rock Cut Brewing Company,80517,CO
Hudson,44.9661,-92.683945,Pitchfork Brewing,54016,Burkhardt
Carrboro,35.91001,-79.068726,Yester Years,27510,NC
Willowbrook,41.743556,-87.941433,Kerry Piper,60527,Willow Brook
Albany,42.662262,-73.778651,Washington Tavern,12203,Mckownville
West Lebanon,43.629634,-72.320052,Seven Barrel Brewery,3784,NH
Vail,39.64165,-106.37279,George Restaurant Pub,81657,West Vail
Lancaster,34.6979056,-118.1433463,Kinetic Brewing Company,93534,Fairmont
Wilkes Barre,41.25494,-75.85909,The Lion Brewery Inc,18705,Miners Mill
Ada,42.95548,-85.483666,Gravel Bottom Craft Brewery,49301,MI
Durango,37.29763472,-107.871824,Durango Brewing Co.,81301,Hermosa
Brookings,42.054924,-124.289795,Chetco Brewing Company,97415,OR
Longmont,40.154953,-105.10934,Grossen Bart Brewery,80501,CO
Nevada City,39.262913,-121.01717,Three Forks Bakery Brewery Co,95959,Graniteville
Rochester,43.09146,-77.61894,Blue Toad Hard Cider,14623,NY
Hillsboro,45.54904666,-122.900995,Cornelius Pass Roadhouse & Imbrie Hall,97124,Orenco
Wisconsin Dells,43.629303,-89.74289,Port Huron Brewing Company,53965,WI
Newark,37.5363,-122.0314,Sun Pub,94560,CA
Salem,44.905535,-123.018473,Gilgamesh Brewing Co,97302,OR
Orlando,28.443487,-81.46971,Brewlando Tours,32819,FL
San Diego,32.836644,-117.138178,Brew It Yourself,92111,CA
Columbia,33.973219,-81.011321,River Rat Brewery,29201,Olympia
Conroe,30.34071,-95.55069,B-52 Brewing Co.,77304,TX
Sonoma,38.275385,-122.425675,Gundlach-bundschu Winery,95476,Schellville
La Crosse,43.802496,-91.253001,Linder's At The Brewery,54601,Campbell
Meredithville,45.703262,9.327385,Biraus Pub,23873,VA
Greeley,40.39063554,-104.7267072,Crabtree Brewing Company,80631,CO
Dowell,38.347311,-76.454668,Ruddy Duck Brewery & Grill,20629,MD
Dallas,32.858623,-96.768047,Humperdinks Restaurant & Brewpub - Greenville Ave,75206,TX
Chelan,47.812647,-119.983559,Vin Du Lac Winery,98816,Lakeside
Ludlow,42.154667,-72.47552,Iron Duke Brewing,1056,MA
New York,40.75630295,-73.9851737,Heartland Brewery,10036,Nyc
Saint Cloud,45.55851,-94.15739,Beaver Island Brewery,56301,MN
Lebanon,36.201707,-86.291833,Eagle Retail,37087,TN
Fiskdale,42.13970193,-72.10995309,Pioneer Brewing Company,1518,MA
Peoria,40.686424,-89.5938,John S. Rhodell Brewing,61602,IL
Dallas,32.797424,-96.829712,Northlake Supply Co,75207,TX
Browns Mills,41.37543611,2.154461143,MonDoré Cervecería Gastronómica,8015,NJ
Hobbs,51.491558,6.877554,Franziskaner,46047,IN
San Antonio,29.655608,-98.449194,World of Beer,78258,TX
Tampa,27.96111,-82.441279,Tampa Bay Brewing Co,33605,FL
Jonesboro,33.492061,-84.431119,Just Brew It,30238,GA
Worcester,42.25461,-71.82548,Flying Dreams Brewery,1610,MA
Armstrong,63.11625,21.61819,Bock’s Corner Brewery,65230,MO
Darien,41.734417,-87.9702,Miskatonic Brewing Company,60561,IL
Newberg,45.31321,-122.919453,Rex Hill Vineyards-Winery,97132,OR
Poulsbo,47.73516618,-122.645454,Valholl Brewing,98370,Central Valley
Burlington,44.456185,-73.220687,Switchback Brewing Co,5401,Burl
Poulsbo,47.73985,-122.65742,Sound Brewery,98370,Central Valley
North Bergen,40.78314,-74.03548,New Jersey Beer Company,7047,Woodcliff
Costa Mesa,33.690327,-117.892473,Karl Strauss Brewing Co-costa,92626,CA
Auburn,32.607884,-85.4808417,Auburn Ale House,36830,AL
Everett,48.002413,-122.21771,Scuttlebutt Brewing,98201,WA
Phoenix,33.611713,-111.995421,Fry's Food and Drug,85032,AZ
Middlebury,44.035736,-73.16626,Woodchuck Cider House,5753,Weybridge
Smyrna,39.281467,-75.622185,Blue Earl Brewing Company,19977,DE
Chicago,41.918241,-87.725337,Classic Vending Inc,60647,IL
Romeoville,41.644215,-88.07723,Metal Monkey Brewing,60446,IL
Arroyo Grande,35.080601,-120.586318,Tanner Jacks,93420,Pismo Beach
Milton,42.800224,-88.922226,Cove Bar The,53563,WI
Dallas,32.791439,-96.816468,Community Beer Co,75207,TX
Knoxville,35.899895,-84.15846,Smoky Mountain Brewery,37934,Concord Farr
Bethalto,43.18668,13.36949,Birrificio Il Mastio,62010,IL
Gettysburg,39.845915,-77.210407,Battlefield Brew Works,17325,Fairplay
Camino,38.749502,-120.669466,Bolster's Hilltop Ranch,95709,Eight Mile House
Halethorpe,39.236395,-76.672934,Majestic Distilling Co Inc,21227,Lansdowne
Saint Petersburg,27.786533,-82.7837,The Florida Winery,33708,North Redington Beach
Steamboat Springs,40.483867,-106.83124,Low Country Kitchen,80487,CO
Montgomeryville,40.248994,-75.242194,Keystone Homebrew Supply,18936,PA
Fredericksburg,38.30159765,-77.45856423,J Brian's Tap Room,22401,Fred
New Orleans,29.95657522,-90.06272346,Jax Brewery & Bistro Bar,70130,LA
Portland,45.500323,-122.652954,Bushwhacker Cider - Brooklyn,97202,OR
Fredericksburg,38.304224,-77.508202,Total Wine & More,22401,Fred
San Antonio,29.390507,-98.541237,Gem's Tavern,78226,TX
Boonton,40.905907,-74.413116,Cask & Kettle Home Brew,7005,Lake Intervale
Plover,44.451931,-89.523523,Point Brew Supply Llc,54467,Coddington
Layton,41.08339492,-111.9819039,Mac Cool's Public House,84041,UT
Fernandina Beach,30.67227444,-81.46300385,Cafe Karibo & Karibrew Brew Pub,32034,Amelia City
Libertyville,42.340388,-88.022274,Majestic Foods Inc,60048,Mettawa
Rehoboth Beach,38.715072,-75.098807,Revelation Brewing Co Tasting,19971,Rehoboth
Bangor,44.800108,-68.772778,2 Feet Brewing Co.,4401,Veazie
Birmingham,33.364311,-86.784886,Beer Engineers,35244,Riverchase
Rogers,36.35531,-94.13457,New Province Brewing Company,72756,AR
Chico,39.771094,-121.874479,High Water Brewing,95973,Richardson Springs
Valparaiso,41.46646357,-87.06120014,Figure Eight Brewery,46383,IN
Avon,39.621047,-106.470145,Vail Brewing Company,81620,CO
Waco,31.617558,-97.054411,Cadbury Schweppes,76705,Gholson
Cincinnati,39.246846,-84.382804,Coca-cola Fountain Sales,45242,Hazelwood
Garner,35.607174,-78.56692,Beer Time Brew Tours - Closed,27529,NC
South San Francisco,37.6556423,-122.4131206,Armstrong Brewing Company,94080,Ssf
Santa Fe,35.65523892,-105.9984165,Duel Brewery,87507,NM
