PostalCode,Median_Income,Population,Median_age,Keydemo_per
35768,43219,11473,42.2,0.20474156715767455
35769,45677,9745,45,0.16213442791174962
35771,50064,3959,39.3,0.16721394291487748
35772,39556,4762,38.5,0.1860562788744225
35773,54933,12323,39.6,0.19897752170737645
35774,52750,198,49.8,0.29292929292929293
35775,36591,1095,48.7,0.23470319634703196
35776,38448,3785,46.5,0.12364597093791281
35801,71947,23947,40.3,0.23263874389276318
35802,64702,21853,44.9,0.19516771152702145
35803,78524,26242,46.3,0.15299900922185808
35805,25511,20491,31.3,0.28783368308037677
35806,68490,23019,36.7,0.2836787002041792
35808,90104,1348,25.4,0.38427299703264095
35810,37488,29274,37.2,0.20335451253672202
35811,65740,27245,40.8,0.17063681409432924
35816,25451,13971,28,0.3841528881254026
35824,83950,8298,33.6,0.32188479151602795
35896,-,698,19.9,0.4713467048710602
35901,39688,19811,40.7,0.17091514815001765
35903,37492,17699,39,0.2270749759873439
35904,35349,13704,43.2,0.1662288382953882
35905,57989,6219,46,0.12960283003698345
35906,50929,9811,38.5,0.1906023850779737
35907,73143,8589,41.4,0.20724182093375249
35950,44670,20867,32.9,0.18948579096180573
35951,37000,12686,35.9,0.18469178622103105
35952,40991,7879,41.8,0.14202309937809365
35953,46096,7519,42.1,0.11357893336879904
35954,39956,11834,40.9,0.16494845360824742
35956,47016,8927,44.7,0.17083006609163212
35957,40235,15967,36.7,0.18344084674641448
35958,42885,3523,42.8,0.14078910019869428
35959,39743,4523,49.2,0.17200972805659961
35960,44189,9714,49.8,0.12322421247683756
35961,39467,7082,39.1,0.16563117763343688
35962,42796,8730,36,0.20927835051546392
35963,33250,1201,47.5,0.14654454621149043
35966,41912,4182,49.4,0.15494978479196556
35967,39575,16274,38.5,0.1744500430133956
35968,44185,5206,36.8,0.20553207837111026
35971,43472,5666,37.5,0.20155312389692906
35972,60398,1222,43.2,0.19312602291325695
35973,37244,2810,44,0.13701067615658363
35974,40882,1744,37.8,0.15825688073394495
35975,30938,629,53,0.1669316375198728
35976,50580,17549,43.7,0.17733204171177844
35978,41020,4901,42.2,0.16180371352785147
35979,35417,1352,41.1,0.13831360946745563
35980,46198,5440,38.5,0.1693014705882353
35981,43641,1802,46.3,0.16759156492785793
35983,55052,3683,40.6,0.22400217214227533
35984,41071,1492,59.8,0.06836461126005362
35986,36640,7968,39.1,0.19402610441767068
35987,42391,2458,37.8,0.2115541090317331
35988,43679,2311,34.9,0.18260493292946775
35989,39185,3831,36.8,0.17828243278517358
35990,-,82,21.4,0.34146341463414637
36003,37000,1963,48.8,0.14824248599083037
36005,49722,1438,42.7,0.14186369958275383
36006,47154,1108,45,0.19223826714801445
36009,38500,2463,43.5,0.1762078765732846
36010,40345,4766,43.3,0.20142677297524128
36013,103696,615,51.8,0.12520325203252033
36016,33263,4951,40.8,0.254494041607756
36017,24413,2897,40.4,0.21505005177770106
36020,41641,1039,42.6,0.13282001924927817
36022,70200,13003,38.2,0.1960316849957702
36024,53506,5124,48.5,0.12431693989071038
36025,44952,6231,38.2,0.32643235435724605
36026,44432,1091,58.7,0.2456461961503208
36027,32767,14970,40.1,0.18062792251169005
36028,37798,1438,49.2,0.1787204450625869
36029,47216,1164,39.8,0.10309278350515463
36030,33021,605,51.6,0.22975206611570248
36031,-,185,55.1,0.15135135135135136
36032,34464,2464,33.3,0.26420454545454547
36033,39425,4262,45,0.1351478179258564
36034,42500,1132,37,0.18904593639575973
36035,42292,1606,42.5,0.19427148194271482
36036,44940,1688,45.2,0.20734597156398105
36037,41733,12944,39.5,0.18301915945611866
36038,-,44,54.8,0.4090909090909091
36039,50677,232,49.8,0.34051724137931033
36040,24852,3452,40.9,0.1633835457705678
36041,39931,1344,44.4,0.13095238095238096
36042,47273,1947,46.1,0.16640986132511557
36043,50000,3626,45.7,0.2349696635410921
36046,40956,1406,47.8,0.11522048364153627
36047,41895,1084,46.3,0.09778597785977859
36048,31250,1513,44,0.2075346992729676
36049,46696,5883,40.2,0.18969913309535952
36051,70438,2057,44.5,0.08167233835683034
36052,106406,393,60,0.04580152671755725
36053,28478,1732,37.4,0.21593533487297922
36054,58125,15899,32.6,0.23435436190955405
36064,109082,10149,38.9,0.12956941570598088
36066,62284,19732,35.7,0.22871477802554227
36067,53645,27601,38.2,0.18093547335241478
36069,46020,2028,50.7,0.1809664694280079
36071,31635,456,52.2,0.11842105263157894
36075,37202,2240,43.8,0.18660714285714286
36078,54842,12540,40.2,0.21730462519936203
36079,49792,9932,34.2,0.2698348771647201
36080,81250,2412,49,0.1318407960199005
36081,27368,15754,26.4,0.33318522280055857
36082,-,1141,19.6,0.36459246275197194
36083,32394,7316,46.2,0.1858939311098961
36088,31200,4646,21.7,0.39001291433491175
36089,34417,7698,39.8,0.18978955572876072
36091,39821,3590,44.3,0.1735376044568245
36092,54861,20170,40.4,0.1863163113534953
36093,98438,11084,39,0.15202093107181522
36104,26401,8465,32.4,0.2555227406969876
36105,31287,9391,46.8,0.15663933553402193
36106,59985,14951,36.2,0.24500033442579092
36107,29592,7669,32.1,0.24644673360281655
36108,24832,17680,43.1,0.19903846153846153
36109,54561,25377,39.3,0.20632856523623755
36110,32760,11693,37.8,0.18472590438724024
36111,51679,12610,36.3,0.2134813639968279
36112,-,309,24.7,0.9288025889967637
36113,88375,1764,36.1,0.23526077097505668
36115,69028,1058,23.6,0.3383742911153119
36116,45883,43882,33.4,0.23645230390592953
36117,64011,54640,34.9,0.23394948755490483
36201,27533,17482,42.5,0.19482896693742136
36203,56237,18453,37,0.20386928954641523
36205,85373,1027,31.6,0.3612463485881207
36206,45115,11648,40.9,0.18123282967032966
36207,54023,19614,39.9,0.19414703783012136
36250,70813,4768,40.2,0.1826761744966443
36251,35671,4400,46.2,0.19136363636363637
36255,44375,944,35.6,0.2330508474576271
36256,41827,1621,46.1,0.14497223935842074
36258,55500,1385,51.7,0.1299638989169675
36260,40714,4259,43.4,0.12514674806292556
36262,40147,1326,43.3,0.17043740573152338
36263,26324,420,55.3,0.14523809523809525
36264,41123,8305,43.5,0.14870559903672487
36265,50020,20238,32.5,0.25847415752544717
36266,42574,6106,37.5,0.13887979037012774
36267,-,7,-,0.0
36268,54286,5514,40.3,0.17373957199854914
36269,55216,1685,32.6,0.1887240356083086
36271,54073,5771,47.2,0.1757061167908508
36272,41059,13097,46.3,0.12300526838207224
36273,47625,3125,44,0.2032
36274,40136,11067,42.7,0.17891027378693414
36276,35804,2573,36.7,0.17567042363000387
36277,57250,5771,38.1,0.17587939698492464
36278,39235,4557,46.6,0.13342111037963572
36279,56851,2452,49.2,0.08931484502446982
36280,55803,4332,44.5,0.16551246537396122
36301,42140,37608,38.1,0.1986545415868964
36303,44639,30986,38.8,0.19389401665268186
36305,67601,15954,40.4,0.17807446408424218
36310,39983,6275,50.3,0.16844621513944222
36311,36426,2426,48.2,0.19455894476504534
36312,46111,6285,41,0.19618138424821002
36313,72286,244,37.6,0.0860655737704918
36314,36875,398,59.5,0.05527638190954774
36316,64243,2118,46.7,0.15769593956562794
36317,28839,486,60.3,0.10905349794238683
36318,50625,1481,35.7,0.07832545577312626
36319,41893,2200,46.9,0.13
36320,40417,3660,43.7,0.19699453551912569
36321,42500,1816,33.9,0.20814977973568283
36322,41989,8921,37.1,0.18888017038448604
36323,44978,7862,46.6,0.1971508522004579
36330,61447,37144,37.6,0.189398018522507
36340,40828,5718,41,0.21720881427072403
36343,41518,1241,50.6,0.14746172441579372
36344,43273,5719,41.1,0.1591187270501836
36345,62117,8785,41,0.10825270347182697
36346,48424,1432,39.6,0.1941340782122905
36350,42634,6428,37.2,0.20224019912881144
36351,49074,3482,47,0.12062033314187248
36352,65379,5433,42.8,0.17614577581446714
36353,41648,1683,48.7,0.1889483065953654
36360,44112,19064,43.9,0.16302979437683593
36362,70024,5311,24.3,0.517228393899454
36370,43125,881,51.5,0.13053348467650397
36371,40000,767,45.6,0.08213820078226858
36373,27102,435,55.9,0.20919540229885059
36374,59875,787,50.1,0.16010165184243966
36375,46932,6976,44.8,0.15911697247706422
36376,42212,2179,45.3,0.16245984396512161
36401,37856,7730,43,0.16895213454075034
36420,44753,10369,46.5,0.16124987944835567
36421,42560,9966,37,0.19556492073048365
36425,26635,1045,46.9,0.17799043062200956
36426,40511,15262,43.4,0.1620364303498886
36432,38125,2150,45.3,0.1172093023255814
36435,35054,370,42.4,0.20810810810810812
36436,39231,359,44.4,0.2757660167130919
36439,38929,502,32.2,0.23107569721115537
36441,37656,3886,38.5,0.18270715388574368
36442,35513,3356,44.8,0.1659713945172825
36444,30982,774,42.9,0.1821705426356589
36445,45316,4524,43.9,0.10389036251105217
36446,-,441,48.2,0.17233560090702948
36451,47551,4312,43.3,0.15978664192949907
36453,37607,2396,50.1,0.1652754590984975
36454,-,8,-,0.0
36455,37614,252,53.1,0.10714285714285714
36456,40481,1528,39.4,0.13743455497382198
36460,30511,10246,41.6,0.18202225258637517
36467,38795,9810,45,0.15922528032619776
36470,-,51,-,0.0
36471,18203,904,51.3,0.06637168141592921
36473,60987,102,68.7,0.06862745098039216
36474,47328,2647,46.4,0.14658103513411408
36475,28158,2393,38.6,0.19264521521103217
36476,-,16,20.9,0.5625
36477,32305,3688,45.5,0.14316702819956617
36480,27461,1682,45.6,0.14328180737217597
36481,16161,443,43.1,0.21896162528216703
36482,31711,1004,54.4,0.10956175298804781
36483,42188,447,55.4,0.18791946308724833
36502,32845,18113,37.7,0.22442444653011648
36505,73090,1682,33.1,0.13198573127229488
36507,44635,21360,40.5,0.16924157303370788
36509,43363,2054,43.6,0.2195715676728335
36511,20615,221,63.7,0.0
36512,-,39,67.8,0.0
36513,27051,672,16.9,0.09523809523809523
36518,40000,2744,43.1,0.17893586005830903
36521,55610,6073,41.1,0.19413798781491848
36522,41319,7339,35.3,0.20820275241858563
36523,46420,2809,48.2,0.12103951584193663
36524,35093,1328,41.2,0.17996987951807228
36525,43714,1914,33.4,0.16562173458725182
36526,77739,34565,36.2,0.20326920295096196
36527,94088,15517,38.6,0.15447573628923117
36528,87596,1324,58.8,0.10196374622356495
36529,-,209,48.6,0.06698564593301436
36530,48906,6363,46.5,0.14725758290114727
36532,69766,35066,44.3,0.13186562482176467
36535,46753,33065,44.7,0.1806744291546953
36538,29000,377,63.4,0.002652519893899204
36539,32583,688,27.7,0.30377906976744184
36540,32870,628,45.7,0.25796178343949044
36541,58794,15524,35,0.18957742849780984
36542,53792,14045,50.3,0.1333570665717337
36543,-,137,26,0.17518248175182483
36544,44681,11682,42.1,0.16195856873822975
36545,35970,9743,41.6,0.15641999384173252
36548,-,998,47.5,0.1933867735470942
36549,50000,5687,55.4,0.10427290311236152
36550,118674,179,61.7,0.3687150837988827
36551,58849,9573,39.5,0.20808523973675963
36553,45245,2721,43.9,0.14626975376699744
36555,60781,806,57.6,0.16377171215880892
36556,-,571,32.2,0.14185639229422067
36558,49315,3677,45.3,0.11667119934729399
36559,26614,213,79.1,0.08450704225352113
36560,36397,3243,46.2,0.18809744064138142
36561,83064,6843,58.1,0.11456963320181207
36562,43816,1362,46.2,0.17033773861967694
36564,-,153,42.7,0.0
36567,51479,13980,39.6,0.15572246065808298
36568,13750,92,65.5,0.17391304347826086
36569,44137,570,54.2,0.20350877192982456
36571,58696,15474,37.8,0.18056094093317823
36572,64348,6159,41,0.17145640526059425
36574,-,1123,53.2,0.1611754229741763
36575,54921,21118,37.3,0.18358746093380054
36576,57338,4198,44.2,0.14435445450214388
36578,80313,1436,45,0.09192200557103064
36579,48182,1214,55,0.12767710049423395
36580,47438,5507,40.4,0.2182676593426548
36581,-,258,46.5,0.3178294573643411
36582,54544,24029,36.7,0.19126888343251905
36583,41181,898,37.1,0.13251670378619154
36584,69531,856,36.1,0.26635514018691586
36585,31154,1242,32.8,0.16747181964573268
36587,50529,10317,43.7,0.1646796549384511
36602,28750,932,52.2,0.24248927038626608
36603,20801,9552,35.6,0.2905150753768844
36604,47080,9423,37.6,0.24036930913721744
36605,35632,27372,37.5,0.20473476545374836
36606,40850,18787,35.3,0.2333528503752595
36607,37220,6398,39.6,0.23351047202250702
36608,51332,35336,35.7,0.2636687797147385
36609,40363,23492,38.1,0.2397411884896986
36610,25963,10728,39.1,0.19034302759134974
36611,28611,5817,30.2,0.18996046071858347
36612,22172,4626,31,0.18179853004755728
36613,39113,13583,35.4,0.2026798203636899
36616,-,8,-,1.0
36617,31192,13306,40.4,0.2096046896137081
36618,44531,17143,40.1,0.1846817943183807
36619,50739,15507,40.9,0.1871412910298575
36688,-,237,19.6,0.41350210970464135
36693,61155,19721,42,0.17793215354190964
36695,69084,51804,36.1,0.20616168635626592
36701,37110,20558,39.3,0.18343224049032006
36703,29990,12927,37.5,0.1869730022433666
36720,17941,963,33.2,0.1588785046728972
36722,29722,441,38.9,0.31065759637188206
36723,16343,371,19.1,0.0
36726,34205,4706,40.5,0.14768380790480237
36727,-,12,-,0.0
36728,19276,214,57.3,0.18691588785046728
36732,28056,7706,38.6,0.171165325720218
36736,64792,1633,31.7,0.1726883037354562
36738,32765,718,49,0.12395543175487465
36740,34521,1276,50,0.2006269592476489
36742,47466,1921,49,0.2545549193128579
36744,29675,6294,41.2,0.1744518589132507
36748,40208,2419,51.9,0.1624638280281108
36749,27266,949,48.5,0.1928345626975764
36750,41944,2622,39,0.11937452326468345
36751,32143,632,34.4,0.14715189873417722
36752,-,1146,53,0.1431064572425829
36753,-,8,-,0.0
36754,-,473,58.8,0.09936575052854123
36756,25553,5867,37,0.13771944775865008
36758,52212,1412,46,0.10198300283286119
36759,37250,1831,44.1,0.12506826870562535
36761,25750,787,51.7,0.10927573062261753
36763,36250,316,26.3,0.10443037974683544
36765,22807,1685,35.8,0.15845697329376854
36766,-,22,61.5,0.09090909090909091
36767,22891,1476,49.8,0.1470189701897019
36768,28750,900,47.6,0.16777777777777778
36769,35197,2444,41.8,0.16612111292962356
36773,28507,469,24.7,0.11727078891257996
36775,35921,1025,41.4,0.21170731707317073
36776,28182,1856,31.7,0.2322198275862069
36782,38214,2685,39.8,0.15083798882681565
36783,27143,686,49.1,0.07871720116618076
36784,37832,7181,40.9,0.19105974098314998
36785,34079,1074,50.8,0.08193668528864059
36786,18281,2474,37,0.1576394502829426
36790,-,89,58.5,0.3707865168539326
36792,69189,1396,34.9,0.22206303724928367
36793,-,279,42.6,0.2831541218637993
36801,46713,25071,37.4,0.21814048103386383
36804,51159,18535,38.5,0.18392230914486107
36830,53972,39476,29.6,0.3052740905866856
36832,30603,24596,23.9,0.512603675394373
36849,-,4185,19.5,0.2998805256869773
36850,33832,2612,45.8,0.19104134762633998
36852,24718,2744,36.4,0.24052478134110788
36853,54248,7943,52.5,0.12627470728943724
36854,52093,15138,35.5,0.22493063812921127
36855,50016,1638,49.9,0.13675213675213677
36856,72580,7811,34,0.1919088464985277
36858,37917,330,55.3,0.19090909090909092
36859,-,16,-,0.0
36860,32209,1728,51.6,0.14351851851851852
36861,49250,3013,51.9,0.1609691337537338
36862,34531,5868,46.1,0.14519427402862986
36863,38538,11847,46.4,0.15632649615936525
36865,43750,30,57.3,0.1
36866,39409,3581,48.1,0.16615470538955598
36867,45702,22239,34.9,0.24385089257610504
36869,36333,20986,35.5,0.20418374154198038
36870,54067,19413,37.1,0.2171225467470252
36871,27197,1175,51.2,0.12
36874,62722,9973,37.4,0.22681239346234833
36875,54239,3782,49.5,0.2242199894235854
36877,52076,12848,40.8,0.19551681195516812
36879,99489,2521,43.8,0.11146370487901626
36901,30580,369,65.2,0.1002710027100271
36904,36194,3734,43.9,0.16122121049812532
36907,23590,1597,47.5,0.16092673763306198
36908,55164,2176,42.9,0.13143382352941177
36910,-,63,-,0.0
36912,32634,2069,51.9,0.17738037699371678
36913,-,36,58.1,0.0
36915,33125,654,41.4,0.18960244648318042
36916,30000,797,45.5,0.16311166875784192
36919,29333,1652,47.8,0.09927360774818401
36921,25238,771,52.7,0.10765239948119326
36922,36136,600,36.6,0.18
36925,30904,3001,44.5,0.15528157280906366
99501,58149,16679,37.1,0.2916241980934109
99502,91066,25268,31.9,0.2573215133766028
99503,56318,12804,35.1,0.31919712589815685
99504,79472,42341,32.7,0.27313951016745
99505,63385,6245,21.6,0.422417934347478
99506,58851,6671,23.2,0.5231599460350772
99507,88257,37109,35.4,0.2494004149936673
99508,64244,36560,31.2,0.262144420131291
99510,-,1077,49.6,0.1457753017641597
99515,108947,22950,36.8,0.20396514161220045
99516,155354,20838,42.2,0.11431039447163835
99517,81366,15750,39,0.22463492063492063
99518,86131,10717,35.4,0.2534291312867407
99519,-,436,52.5,0.10550458715596331
99540,79554,332,49.6,0.11746987951807229
99546,70000,226,33.3,0.23008849557522124
