,PostalCode,Population,Median_Income,PerUnder60
14569,68735,1070,20604,0.87
14570,68736,690,13787,0.87
14571,68739,3650,82067,0.88
14572,68740,1080,23208,0.91
14573,68741,740,21805,0.88
14574,68743,710,25440,0.87
14575,68745,1770,43336,0.87
14576,68746,410,7830,0.8
14577,68748,4130,78725,0.92
14578,68752,930,18156,0.89
14579,68756,2200,49994,0.85
14580,68757,740,14611,0.85
14581,68758,1250,25669,0.86
14582,68759,290,4879,0.83
14583,68760,1630,21518,0.91
14584,68761,450,7687,0.87
14585,68763,5960,123999,0.89
14586,68764,910,16461,0.87
14587,68765,1650,41519,0.87
14588,68766,470,8447,0.87
14589,68767,4040,99981,0.9
14590,68768,620,15616,0.84
14591,68769,2100,42043,0.86
14592,68770,1950,44764,0.88
14593,68771,1730,39589,0.86
14594,68774,400,8600,0.85
14595,68776,21230,336675,0.94
14596,68777,720,15849,0.82
14597,68778,590,11338,0.86
14598,68779,2750,67809,0.89
14599,68780,1180,25028,0.89
14600,68781,1850,41966,0.88
14601,68783,960,18671,0.83
14602,68784,2850,53333,0.92
14603,68785,340,7135,0.91
14604,68786,1300,29934,0.87
14605,68787,6080,155123,0.88
14606,68788,6290,155583,0.89
14607,68790,810,19366,0.89
14608,68791,2150,54338,0.87
14609,68792,600,10009,0.87
14610,68801,37680,694161,0.93
14611,68803,31910,761177,0.9
14612,68810,1340,21063,0.93
14613,68812,1070,21846,0.9
14614,68813,640,12050,0.89
14615,68814,1090,20214,0.88
14616,68815,620,12170,0.89
14617,68817,340,6680,0.79
14618,68818,7200,179188,0.89
14619,68820,480,10031,0.85
14620,68822,5610,146488,0.88
14621,68823,2210,44459,0.85
14622,68824,1780,39660,0.9
14623,68825,1130,23857,0.88
14624,68826,4700,110123,0.89
14625,68827,740,16715,0.86
14626,68828,230,4544,0.83
14627,68831,970,21919,0.88
14628,68832,2530,82183,0.89
14629,68833,280,5443,0.86
14630,68835,500,9310,0.88
14631,68836,2190,48892,0.9
14632,68838,280,5575,0.89
14633,68840,3900,79367,0.92
14634,68841,860,21274,0.9
14635,68842,640,11616,0.83
14636,68843,1050,26670,0.88
14637,68845,22250,750909,0.9
14638,68846,270,6267,0.85
14639,68847,20720,478340,0.9
14640,68850,17990,275657,0.94
14641,68852,600,13123,0.87
14642,68853,1630,31671,0.85
14643,68854,1020,28697,0.85
14644,68855,430,7652,0.88
14645,68856,800,17150,0.91
14646,68858,330,5713,0.91
14647,68859,560,11210,0.86
14648,68860,390,6793,0.87
14649,68862,3480,72084,0.87
14650,68863,1470,28073,0.91
14651,68864,1290,23505,0.9
14652,68865,1280,42874,0.88
14653,68866,1300,28882,0.9
14654,68869,2600,50005,0.89
14655,68870,660,15176,0.92
14656,68872,1120,25471,0.88
14657,68873,4010,85748,0.89
14658,68874,1080,19027,0.88
14659,68875,690,10784,0.9
14660,68876,1910,41888,0.9
14661,68878,510,8759,0.9
14662,68879,380,6019,0.87
14663,68882,520,8841,0.87
14664,68883,2730,63339,0.89
14665,68901,29350,694742,0.89
14666,68920,1570,36049,0.85
14667,68922,1570,30379,0.86
14668,68924,1510,35520,0.91
14669,68925,560,14005,0.89
14670,68926,790,14755,0.85
14671,68927,1290,31286,0.88
14672,68928,470,9640,0.87
14673,68930,1430,29953,0.88
14674,68932,500,10365,0.86
14675,68933,1120,26166,0.88
14676,68935,850,15412,0.88
14677,68937,2000,60457,0.82
14678,68938,640,14179,0.86
14679,68939,1340,35117,0.87
14680,68940,520,11681,0.88
14681,68941,900,18123,0.88
14682,68942,440,7271,0.86
14683,68943,260,6046,0.85
14684,68944,1420,26566,0.9
14685,68947,610,14605,0.85
14686,68948,340,6388,0.85
