ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
50112,11370,316040,0.863676341
50115,3010,69872,0.867109635
50116,330,6786,0.909090909
50118,1130,24006,0.920353982
50119,530,11409,0.886792453
50120,370,9971,0.891891892
50122,1680,41758,0.869047619
50123,940,19066,0.85106383
50124,6000,165706,0.933333333
50125,23970,657072,0.889027952
50126,7190,195498,0.865090403
50128,350,7797,0.828571429
50129,5820,143470,0.859106529
50130,2090,59791,0.885167464
50131,30320,1249901,0.917875989
50132,410,7709,0.902439024
50133,600,8905,0.883333333
50134,800,22657,0.9
50135,1800,46141,0.855555556
50136,470,9501,0.85106383
50138,13160,311476,0.885258359
50139,1480,29674,0.885135135
50140,2230,39703,0.883408072
50141,550,14806,0.818181818
50143,750,18499,0.88
50144,3030,63713,0.894389439
50146,590,12630,0.881355932
50147,410,7362,0.87804878
50148,430,9303,0.88372093
50149,1270,21278,0.913385827
50150,1050,18774,0.895238095
50151,850,19550,0.882352941
50153,1000,24364,0.9
50154,620,14922,0.887096774
50156,5460,149073,0.882783883
50157,850,17368,0.870588235
50158,37900,789565,0.900527704
50161,2460,64362,0.894308943
50162,1460,32050,0.904109589
50164,790,15965,0.886075949
50166,1960,43765,0.908163265
50167,860,22037,0.88372093
50168,1080,29387,0.898148148
50169,3150,82497,0.901587302
50170,3510,86949,0.883190883
50171,3100,89491,0.848387097
50173,770,16195,0.883116883
50174,1450,29927,0.889655172
50201,9910,266130,0.884964682
50206,560,11173,0.875
50207,2970,66941,0.892255892
50208,21760,491201,0.877757353
50210,2080,57482,0.875
50211,18850,578866,0.922546419
50212,3650,92143,0.876712329
50213,8710,164427,0.902411022
50214,1090,30574,0.899082569
50216,3230,120269,0.839009288
50217,620,14731,0.870967742
50219,16960,557011,0.885023585
50220,11260,216036,0.918294849
50222,580,13376,0.879310345
50223,370,7880,0.864864865
50225,3730,88148,0.90616622
50226,8880,306388,0.929054054
50228,3210,81711,0.903426791
50229,1400,48164,0.885714286
50230,1280,31297,0.875
50232,590,16035,0.86440678
50233,1530,33454,0.875816993
50234,680,19531,0.882352941
50235,450,10696,0.866666667
50236,2130,53283,0.915492958
50237,4020,124732,0.902985075
50238,1170,23239,0.88034188
50240,2900,84825,0.896551724
50242,490,9934,0.87755102
50244,2240,64942,0.897321429
50246,750,18472,0.866666667
50247,3050,75803,0.891803279
50248,5280,151095,0.863636364
50249,1300,33553,0.853846154
50250,2880,58939,0.881944444
50251,1710,43080,0.877192982
50252,450,11334,0.888888889
50254,330,6024,0.878787879
50256,520,12702,0.846153846
50257,1260,27188,0.920634921
50258,820,19477,0.829268293
50261,3840,131202,0.9296875
50262,430,8368,0.860465116
50263,30770,1159373,0.934351641
50264,590,10063,0.86440678
50265,38890,1542259,0.894831576
50266,41680,1802498,0.916506718
50268,970,16825,0.886597938
50271,590,14425,0.847457627
50273,10150,265659,0.891625616
50274,390,7993,0.846153846
50275,560,10974,0.875
50276,2480,68871,0.875
50277,620,13452,0.903225806
50278,970,21952,0.896907216
50309,7120,359730,0.941011236
50310,35560,884815,0.903543307
50311,14080,327408,0.921164773
50312,16540,849707,0.861547763
50313,19660,400231,0.91353001
50314,14040,152374,0.964387464
50315,42580,791336,0.921089713
50316,18700,251246,0.939572193
50317,43020,786889,0.917015342
50320,28460,519077,0.939564301
50321,9280,376632,0.892241379
50322,38070,1184624,0.884686105
50323,22820,1166604,0.931200701
50324,6210,185294,0.861513688
50325,24270,1127584,0.904408735
50327,14200,443451,0.897183099
50401,30670,800033,0.871209651
50420,430,8127,0.88372093
50421,3450,80622,0.849275362
50423,3120,72483,0.862179487
50424,1640,40456,0.841463415
50428,10290,335521,0.839650146
50430,510,11046,0.843137255
50434,480,10845,0.854166667
50435,900,18757,0.877777778
50436,6120,156559,0.862745098
50438,4850,125322,0.872164948
50439,230,4976,0.826086957
50440,470,11545,0.85106383
50441,6160,128215,0.871753247
50444,470,10789,0.85106383
50446,660,13798,0.863636364
50447,1250,25625,0.88
50448,800,15810,0.8625
50449,810,14078,0.888888889
50450,3280,77294,0.856707317
50451,590,13258,0.881355932
50452,960,19661,0.875
50453,630,13534,0.857142857
50455,400,7678,0.9
50456,1980,39965,0.904040404
